PHASE;SECTION;EPIC;REQUIREMENT NAME;ASSUMPTION;TASK TYPE;EC;BA;SA;BD;FD;CS;QA;CR;PM;Hrs;MD;COST
Refapp - Phase 1 Release;Storefront Implementation;Non product pages ;404 pages;;Story;;;;0,25;1;;0,5;0,0625;0,3125;17;2,125;17
Refapp - P1 Release Cigars.com;Storefront Implementation;Non product pages ;404 pages;Assuming content will be similar to existing pages;Story;;;;0,25;1;;0,5;0,0625;0,3125;17;2,125;17
JRCigars;Storefront Implementation;Non-Product Pages;About JR Cigars, EXpress order, Shipping information, FAQ, Return Policy, New Privacy Policy, Terms of use;Assuming content will be similar to existing pages;Story;;;;;5;;2;0,25;1,25;68;8,5;68
Seriouscigar;Storefront Implementation;Non product pages ;About serious cigars, Shipping information, Express order, return policy, Privacy policy, Age verification, Terms of Use, Your CA Privacy rights, About Ads;Assuming content will be similar to existing pages;;;;;;5;;2;0,25;1,25;68;8,5;68
Refapp - Phase 1 Release;Storefront Implementation;Non product pages ;About us ;;Story;;;;0,25;0,75;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - P1 Release Cigars.com;Storefront Implementation;Non product pages ;About us ;Assuming content will be similar to existing pages;Story;;;;0,25;0,75;;0,4;0,05;0,25;13,6;1,7;13,6
JRCigars;Storefront Implementation;Homepage;Activate SMS notifications to receive latest deals;Assuming integration with existing SMS provider;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
New Country;Storefront Implementation;Storefront Implementation;Add Support for Default Locale;;Story;;;;3;3;;2,4;0,3;1,5;81,6;10,2;81,6
New Language;Storefront Implementation;Storefront Implementation;Add Support for new Locale;;Story;;;;3;4;;2,8;0,35;1,75;95,2;11,9;95,2
Refapp - P1 Release Cigars.com;Storefront Implementation;Cart ;Add to Cart  ;Assuming standard Site Genesis template;;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
JRCigars;Storefront Implementation;Cart;Add to cart pop-up suggestions (Bonus Buy);Assume leveraging Recommendations functionality;Story;;;;0,5;1;;0,6;0,075;0,375;20,4;2,55;20,4
Refapp - P1 Release Cigars.com;Backend Integration;Backend Integration;Address Verification;Assume integration with 3rd party verification service w/ documented API;;;;;1,5;;;0,6;0,075;0,375;20,4;2,55;20,4
Refapp - Phase 1 Release;Storefront Implementation;My Account ;Addresses;Add/ Edit/ Delete/ Default;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - P1 Release Cigars.com;Storefront Implementation;My Account ;Addresses;Assuming standard Site Genesis template;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
